technique, min10.coverage,min10.tssize, cfgexists, min30.coverage, min30.tssize, min10.dir, min30.dir, target
no_swarm, 33, 953, True, 3,3463,/scratch/alipour/data/21/no_swarm/0,/scratch/alipour/data/21/init, 18307
no_swarm, 34, 564, True, 5,3463,/scratch/alipour/data/21/no_swarm/1,/scratch/alipour/data/21/init, 4846
no_swarm, 15, 807, True, 6,3463,/scratch/alipour/data/21/no_swarm/2,/scratch/alipour/data/21/init, 18802
no_swarm, 28, 571, True, 11,3463,/scratch/alipour/data/21/no_swarm/3,/scratch/alipour/data/21/init, 18655
no_swarm, 138, 952, True, 17,3463,/scratch/alipour/data/21/no_swarm/4,/scratch/alipour/data/21/init, 15682
no_swarm, 65, 494, True, 17,3463,/scratch/alipour/data/21/no_swarm/5,/scratch/alipour/data/21/init, 18364
no_swarm, 0, 0, True, 4,3463,/scratch/alipour/data/21/no_swarm/6,/scratch/alipour/data/21/init, 30468
no_swarm, 25, 952, True, 19,3463,/scratch/alipour/data/21/no_swarm/7,/scratch/alipour/data/21/init, 21219
no_swarm, 0, 0, True, 7,3463,/scratch/alipour/data/21/no_swarm/8,/scratch/alipour/data/21/init, 19009
no_swarm, 0, 0, True, 39,3463,/scratch/alipour/data/21/no_swarm/9,/scratch/alipour/data/21/init, 7387
halfswarm, 4, 951, True, 16,3463,/scratch/alipour/data/21/half_swarm/0,/scratch/alipour/data/21/init, 29796
halfswarm, 9, 937, True, 20,3463,/scratch/alipour/data/21/half_swarm/1,/scratch/alipour/data/21/init, 20077
halfswarm, 23, 957, True, 56,3463,/scratch/alipour/data/21/half_swarm/2,/scratch/alipour/data/21/init, 7933
halfswarm, 0, 957, True, 3,3463,/scratch/alipour/data/21/half_swarm/3,/scratch/alipour/data/21/init, 11384
halfswarm, 24, 960, True, 66,3463,/scratch/alipour/data/21/half_swarm/4,/scratch/alipour/data/21/init, 20714
halfswarm, 2, 958, True, 6,3463,/scratch/alipour/data/21/half_swarm/5,/scratch/alipour/data/21/init, 3865
halfswarm, 19, 923, True, 30,3463,/scratch/alipour/data/21/half_swarm/6,/scratch/alipour/data/21/init, 18757
halfswarm, 0, 956, True, 3,3463,/scratch/alipour/data/21/half_swarm/7,/scratch/alipour/data/21/init, 30274
halfswarm, 2, 955, True, 3,3463,/scratch/alipour/data/21/half_swarm/8,/scratch/alipour/data/21/init, 17389
halfswarm, 6, 960, True, 20,3463,/scratch/alipour/data/21/half_swarm/9,/scratch/alipour/data/21/init, 8006
no_swarm, 16, 845, True, 48,2910,/scratch/alipour/data/22/no_swarm/0,/scratch/alipour/data/22/init, 7702
no_swarm, 0, 0, True, 8,2910,/scratch/alipour/data/22/no_swarm/1,/scratch/alipour/data/22/init, 19003
no_swarm, 0, 0, True, 9,2910,/scratch/alipour/data/22/no_swarm/2,/scratch/alipour/data/22/init, 30458
no_swarm, 124, 1006, True, 34,2910,/scratch/alipour/data/22/no_swarm/3,/scratch/alipour/data/22/init, 25156
no_swarm, 52, 823, True, 10,2910,/scratch/alipour/data/22/no_swarm/4,/scratch/alipour/data/22/init, 16262
no_swarm, 0, 0, True, 15,2910,/scratch/alipour/data/22/no_swarm/5,/scratch/alipour/data/22/init, 24649
no_swarm, 29, 1007, True, 8,2910,/scratch/alipour/data/22/no_swarm/6,/scratch/alipour/data/22/init, 30472
no_swarm, 232, 861, True, 9,2910,/scratch/alipour/data/22/no_swarm/7,/scratch/alipour/data/22/init, 3426
no_swarm, 0, 0, True, 5,2910,/scratch/alipour/data/22/no_swarm/8,/scratch/alipour/data/22/init, 15888
no_swarm, 0, 0, True, 6,2910,/scratch/alipour/data/22/no_swarm/9,/scratch/alipour/data/22/init, 13256
halfswarm, 64, 883, True, 36,2910,/scratch/alipour/data/22/half_swarm/0,/scratch/alipour/data/22/init, 12433
halfswarm, 3, 1005, True, 5,2910,/scratch/alipour/data/22/half_swarm/1,/scratch/alipour/data/22/init, 9767
halfswarm, 5, 1003, True, 15,2910,/scratch/alipour/data/22/half_swarm/2,/scratch/alipour/data/22/init, 15692
halfswarm, 9, 1005, True, 18,2910,/scratch/alipour/data/22/half_swarm/3,/scratch/alipour/data/22/init, 32058
halfswarm, 3, 1004, True, 4,2910,/scratch/alipour/data/22/half_swarm/4,/scratch/alipour/data/22/init, 8882
halfswarm, 6, 1006, True, 9,2910,/scratch/alipour/data/22/half_swarm/5,/scratch/alipour/data/22/init, 18136
halfswarm, 39, 1010, True, 44,2910,/scratch/alipour/data/22/half_swarm/6,/scratch/alipour/data/22/init, 20709
halfswarm, 8, 1004, True, 17,2910,/scratch/alipour/data/22/half_swarm/7,/scratch/alipour/data/22/init, 7201
halfswarm, 34, 1012, True, 44,2910,/scratch/alipour/data/22/half_swarm/8,/scratch/alipour/data/22/init, 18426
halfswarm, 5, 1008, True, 4,2910,/scratch/alipour/data/22/half_swarm/9,/scratch/alipour/data/22/init, 8126
no_swarm, 81, 1008, True, 6,3026,/scratch/alipour/data/23/no_swarm/0,/scratch/alipour/data/23/init, 16877
no_swarm, 13, 759, True, 13,3026,/scratch/alipour/data/23/no_swarm/1,/scratch/alipour/data/23/init, 21214
no_swarm, 81, 1013, True, 12,3026,/scratch/alipour/data/23/no_swarm/2,/scratch/alipour/data/23/init, 29277
no_swarm, 0, 0, True, 13,3026,/scratch/alipour/data/23/no_swarm/3,/scratch/alipour/data/23/init, 13012
no_swarm, 0, 0, True, 19,3026,/scratch/alipour/data/23/no_swarm/4,/scratch/alipour/data/23/init, 7398
no_swarm, 0, 0, True, 8,3026,/scratch/alipour/data/23/no_swarm/5,/scratch/alipour/data/23/init, 9779
no_swarm, 44, 1012, True, 8,3026,/scratch/alipour/data/23/no_swarm/6,/scratch/alipour/data/23/init, 18136
no_swarm, 0, 0, True, 4,3026,/scratch/alipour/data/23/no_swarm/7,/scratch/alipour/data/23/init, 21223
no_swarm, 383, 859, True, 8,3026,/scratch/alipour/data/23/no_swarm/8,/scratch/alipour/data/23/init, 14436
