directory, treatment, target, newcov,  oldcov, newtssize, origtsize
/scratch/alipour/replica1/src/1/0/no_swarm,no_swarm,10369,17,2,754,2629
/scratch/alipour/replica1/src/1/0/half_swarm,half_swarm,10369,1,2,755,2629
/scratch/alipour/replica1/src/1/1/no_swarm,no_swarm,7482,38,65,731,2629
/scratch/alipour/replica1/src/1/1/half_swarm,half_swarm,7482,15,65,738,2629
/scratch/alipour/replica1/src/1/2/no_swarm,no_swarm,31083,53,20,679,2629
/scratch/alipour/replica1/src/1/2/half_swarm,half_swarm,31083,3,20,742,2629
/scratch/alipour/replica1/src/1/3/no_swarm,no_swarm,19161,167,18,749,2629
/scratch/alipour/replica1/src/1/3/half_swarm,half_swarm,19161,10,18,735,2629
/scratch/alipour/replica1/src/1/4/no_swarm,no_swarm,9373,298,14,737,2629
/scratch/alipour/replica1/src/1/4/half_swarm,half_swarm,9373,4,14,748,2629
/scratch/alipour/replica1/src/1/5/half_swarm,half_swarm,28863,9,18,741,2629
/scratch/alipour/replica1/src/1/6/no_swarm,no_swarm,7080,33,65,738,2629
/scratch/alipour/replica1/src/1/6/half_swarm,half_swarm,7080,22,65,869,2629
/scratch/alipour/replica1/src/1/7/no_swarm,no_swarm,20710,65,41,738,2629
/scratch/alipour/replica1/src/1/7/half_swarm,half_swarm,20710,28,41,725,2629
/scratch/alipour/replica1/src/1/8/no_swarm,no_swarm,14516,715,37,727,2629
/scratch/alipour/replica1/src/1/8/half_swarm,half_swarm,14516,36,37,677,2629
/scratch/alipour/replica1/src/1/9/no_swarm,no_swarm,15983,10,2,567,2629
/scratch/alipour/replica1/src/1/9/half_swarm,half_swarm,15983,1,2,721,2629
/scratch/alipour/replica1/src/1/10/half_swarm,half_swarm,30488,0,2,755,2629
/scratch/alipour/replica1/src/1/11/no_swarm,no_swarm,29876,41,12,755,2629
/scratch/alipour/replica1/src/1/11/half_swarm,half_swarm,29876,6,12,755,2629
/scratch/alipour/replica1/src/1/12/no_swarm,no_swarm,29777,91,10,740,2629
/scratch/alipour/replica1/src/1/12/half_swarm,half_swarm,29777,5,10,665,2629
/scratch/alipour/replica1/src/1/13/no_swarm,no_swarm,24850,3,14,514,2629
/scratch/alipour/replica1/src/1/13/half_swarm,half_swarm,24850,3,14,559,2629
/scratch/alipour/replica1/src/1/14/no_swarm,no_swarm,9990,9,7,364,2629
/scratch/alipour/replica1/src/1/14/half_swarm,half_swarm,9990,5,7,520,2629
/scratch/alipour/replica1/src/1/15/no_swarm,no_swarm,24423,15,20,486,2629
